t,Relative_spatial_contact_rate_given_social_distancing,Delay_to_start_case_isolation,Latent_period,first_order_contribution,3_param_contribution
0.000000000000000000e+00,nan,nan,nan,nan,nan
3.000000000000000000e+01,nan,nan,nan,nan,nan
6.000000000000000000e+01,nan,nan,nan,nan,nan
9.000000000000000000e+01,2.268023697628163478e-32,2.599695637080895564e-05,3.257233517388525290e-01,5.934284565575653758e-01,3.257493486952233175e-01
1.200000000000000000e+02,4.384679896184480355e-05,1.172820025067321898e-03,6.992076997170910690e-01,8.336274419046502127e-01,7.004243665411202802e-01
1.500000000000000000e+02,5.245612808227237411e-02,6.140255645945474211e-02,7.190258585657962609e-01,8.945184472245618634e-01,8.328845431075233563e-01
1.800000000000000000e+02,2.190341900403802999e-01,1.308493065298185487e-01,3.273101935680833297e-01,8.721497143769154636e-01,6.771936901382822338e-01
2.100000000000000000e+02,3.089544959049312367e-01,1.605549435536565706e-01,1.560206581365195244e-01,8.773903647709058173e-01,6.255300975951073594e-01
2.400000000000000000e+02,3.396405810545740644e-01,1.678137035944695654e-01,9.763904976720370887e-02,8.639375033685227079e-01,6.050933344162473526e-01
2.700000000000000000e+02,3.249874544083915517e-01,1.712723681623755934e-01,9.538179930243909088e-02,8.477846539190719843e-01,5.916416218732062360e-01
3.000000000000000000e+02,3.207153929728307484e-01,1.703844609615419448e-01,1.062613216580660797e-01,8.522924364461955671e-01,5.973611755924388422e-01
3.300000000000000000e+02,3.177197279970268018e-01,1.717053568686610632e-01,1.199176925234160945e-01,8.650974676862422941e-01,6.093427773891039179e-01
3.600000000000000000e+02,2.991703826318448667e-01,1.832019048727802635e-01,1.161729353075361959e-01,8.683870776413762371e-01,5.985452228121612706e-01
3.900000000000000000e+02,2.976982911110940266e-01,1.893100115093278302e-01,1.191598867185930111e-01,8.724416625126084623e-01,6.061681893390148401e-01
4.200000000000000000e+02,2.908866935472791404e-01,1.897108912397596214e-01,1.323533789453085197e-01,8.790830188760575536e-01,6.129509637323472537e-01
4.500000000000000000e+02,2.852739255024228648e-01,1.924362297543279476e-01,1.383212132030575969e-01,8.823891309691268559e-01,6.160313684598084372e-01
4.800000000000000000e+02,2.929361383052942469e-01,2.029410910517226163e-01,1.304815605265275957e-01,8.848633653942841182e-01,6.263587898835444312e-01
5.100000000000000000e+02,2.741100628101466041e-01,2.049181202218353925e-01,1.443523619736662988e-01,8.914981006256900153e-01,6.233805450056483233e-01
5.400000000000000000e+02,2.703981320941487021e-01,2.066123904630238206e-01,1.560576858197915973e-01,8.931944486660430282e-01,6.330682083769640922e-01
5.700000000000000000e+02,2.830837022454057994e-01,2.134658899152832856e-01,1.336237788966839757e-01,8.904820333639522634e-01,6.301733710573730329e-01
6.000000000000000000e+02,2.686060665861328411e-01,2.169352751535765511e-01,1.464599201289993047e-01,8.972742859032618590e-01,6.320012618687087524e-01
6.300000000000000000e+02,2.710298587476032695e-01,2.178586549038384612e-01,1.618013851144798065e-01,9.003772650567991587e-01,6.506898987659215372e-01
6.600000000000000000e+02,2.680720371306198890e-01,2.192053457955219498e-01,1.490440968019569878e-01,8.970860238275393250e-01,6.363214797280988266e-01
6.900000000000000000e+02,2.614384504803933251e-01,2.257501091410653304e-01,1.525834910775202280e-01,9.018114200815676718e-01,6.397720506989789113e-01
7.200000000000000000e+02,2.608683662503507583e-01,2.224917826332836746e-01,1.704982465203362940e-01,9.041525113020615345e-01,6.538583954039707269e-01
7.500000000000000000e+02,2.536131459774504937e-01,2.246021813878266160e-01,1.682954548089956592e-01,9.038655000104397486e-01,6.465107821742728245e-01
7.800000000000000000e+02,2.526719639393517625e-01,2.318487294906000640e-01,1.674255411485730816e-01,9.054675767768429751e-01,6.519462345785249635e-01
